,Estilo,Platos,Postres,Quesos,Temperatura,Vaso/Copa
0,Kölsch,"Comida liviana, pollo, ensaladas, salchichas.","Pastel de mandarina o damasco, torta de crema y limón.","Monterey Jack, Brick o similar, quesos de sabores almendrados.","4,5-7 °C.",Vaso Pilsner.
1,Cream Ale,"Comida liviana, pollo, ensaladas, salchichas.","Pastel de mandarina o damasco, torta de crema y limón.","Monterey Jack, Brick o similar, quesos de sabores almendrados.","4,5-7 °C.",Vaso Pilsner.
2,Blonde Ale,"Comida liviana, pollo, ensaladas, salchichas.","Pastel de mandarina o damasco, torta de crema y limón.","Monterey Jack, Brick o similar, quesos de sabores almendrados.","4,5-7 °C.",Vaso Pilsner.
3,British-Style Bitter,"Pollo o cerdo asado, pescado y papas fritas.","Galletas de avena, pasa y nuez u otro postre básico y contundente.",Ingleses suaves como Lancashire o Leicester.,10-13 °C.,Pinta Nonick.
4,Pale Ale,"Pastel de carne, quesos ingleses, hamburgesas.","Flan de calabaza, budín de pan de miel, bananas Foster.",Ingleses como Cheddar o Derby con salvia.,10-13 °C.,Pinta Nonick.
5,India Pale Ale,Comidas fuertes y condimentadas (curry) o torta de zanahoria.,"Tarta de manzana caramelo, tortas con jengibre o budin de arroz caqui.",Azules suaves como Gorgonzola y Cambozola.,10-13 °C.,Pinta Nonick.
6,Double / Imperial IPA,"Filete de pechuga ahumada, cordero grillado, filete de pollo frito.","Postres dulces como torta de zanahoria, cheescake o crème brulée.",Sharp y queso artesanal azul.,10-13 °C.,Pinta Americana.
7,Amber / Red Ale,"Pollo, productos del mar, hamburguesas, excelente con comida condimentada.","Peras con dulce de leche, torta de platano, galletas de nuez.",Por-Salut o otros quesos amargos suaves.,10-13 °C.,Pinta Americana.
8,Scotch Ale / Wee Heavy,"Filete asado o grillado, cordero, salmón ahumado.",Budin deoffe o mantecado de chips de chocolate.,"Queso de oveja envejecido, Mizithra o Idiazabal (ahumados).",10-13 °C.,Copa Tulipa.
9,Brown Ale,"Comida abundante: cerdo asado, salchichas, salmón grillado.","Torta de nuez y almendra, buñuelos de pera.",Gauda añejado o Cheschire quebradizo.,10-13 °C.,Pinta Nonick.
10,Altbier,"Comida abundante: cerdo asado, salchichas, salmón grillado.","Torta de nuez y almendra, buñuelos de pera.",Gauda añejado o Cheschire quebradizo.,10-13 °C.,Pinta Nonick.
11,Abbey Dubbel,"Barbecue, carne estofada, un filete abundante, o costillas ahumadas asadas.","Leche con chocolate, trufas con mantequilla o pan de chocolate con leche.",Quesos de Abadía de corteza lavada o Morbier Francés.,10-13 °C.,Copa Caliz.
